question_text,question_type,correct_answer,options,points,difficulty,explanation,image_url
Họ và tên,short_answer,,,0,medium,,
Cơ sở,multiple_choice,,HCM - 01 Quang Trung|HCM - Phan Văn Trị|HCM - 01 Trường Chinh|HCM - 01 Tô Ký,0,medium,,
Mã LMS,short_answer,,,0,medium,,
"Trong một buổi học, giáo viên quan sát thấy học sinh không chờ hướng dẫn chi tiết, chủ động thử nhiều cách khác nhau để hoàn thành nhiệm vụ, không bỏ dở khi gặp lỗi và vẫn tiếp tục điều chỉnh sản phẩm dù chưa được yêu cầu. Trạng thái này phản ánh đúng nhất dạng động lực học tập nào?",multiple_choice,Trạng thái tham gia học tập mang tính chủ động và duy trì nội lực,Động lực xuất phát từ yêu cầu hoàn thành nhiệm vụ|Trạng thái tham gia học tập mang tính chủ động và duy trì nội lực|Sự hào hứng nhất thời do hoạt động mới lạ|Thái độ học tập hình thành từ kỷ luật lớp học,1,medium,,
"Một lớp học có nhiều hoạt động sôi nổi, học sinh cười nói, tham gia đầy đủ nhưng sau buổi học không nhớ rõ mình đã thử nghiệm điều gì hoặc học được điều gì từ quá trình làm. Theo cách tiếp cận của tài liệu, yếu tố nào đang thiếu trong lớp học này?",multiple_choice,Giá trị học tập được hình thành từ quá trình và kết quả tạo ra,Không gian học tập linh hoạt|Sự tương tác giữa các học sinh|Giá trị học tập được hình thành từ quá trình và kết quả tạo ra|Thời lượng dành cho trò chơi,1,medium,,
"Trong một chuỗi buổi học, giáo viên áp dụng nhiều cách hỗ trợ khác nhau. Sau vài tuần, giáo viên nhận thấy có những lớp, học sinh vẫn chủ động thử nghiệm và duy trì sự tham gia ngay cả khi không có yêu cầu cụ thể, trong khi một số lớp chỉ làm tốt khi được nhắc nhở liên tục. Trong các cách tổ chức hoạt động dưới đây, cách nào khiến học sinh dễ bị phụ thuộc theo hướng dẫn hơn là tự suy nghĩ và thử nghiệm?",multiple_choice,Cung cấp sẵn toàn bộ các bước và yêu cầu học sinh làm đúng theo,Khuyến khích học sinh thử lại khi chưa đạt kết quả|Tạo điều kiện để học sinh hoàn thành và nhìn thấy kết quả của mình|Cung cấp sẵn toàn bộ các bước và yêu cầu học sinh làm đúng theo|Cho phép học sinh lựa chọn cách thực hiện trong phạm vi nhiệm vụ,1,medium,,
"Đối với học sinh nhỏ tuổi, cách tổ chức hoạt động nào sau đây giúp các em tiếp tục tham gia và tập trung trong suốt buổi học tốt nhất?",multiple_choice,"Thiết kế hoạt động để học sinh được thao tác trực tiếp, thử và tự điều chỉnh trong quá trình làm","Chia nội dung lý thuyết thành từng phần nhỏ để giáo viên lần lượt giảng|Cho học sinh quan sát trước một sản phẩm hoặc mẫu hoàn chỉnh|Thiết kế hoạt động để học sinh được thao tác trực tiếp, thử và tự điều chỉnh trong quá trình làm|Yêu cầu học sinh hoàn thành bài tập cá nhân theo mẫu có sẵn",1,medium,,
"Trong lớp học được thiết kế theo hướng học sinh là trung tâm, vai trò nào sau đây phù hợp nhất với giáo viên?",multiple_choice,"Người xây dựng bối cảnh, giao nhiệm vụ và hỗ trợ khi cần","Người quyết định cách làm duy nhất cho cả lớp|Người xây dựng bối cảnh, giao nhiệm vụ và hỗ trợ khi cần|Người đánh giá kết quả cuối cùng của học sinh|Người trình bày đầy đủ nội dung trước khi học sinh thực hành",1,medium,,
"Sau một buổi học, yếu tố nào dưới đây giúp học sinh dễ duy trì động lực cho các buổi học tiếp theo nhất?",multiple_choice,Có một kết quả cụ thể phản ánh nỗ lực của bản thân,Được giáo viên nhận xét tổng quát|Hoàn thành đúng thời gian quy định|Có một kết quả cụ thể phản ánh nỗ lực của bản thân|Được chấm điểm cao,1,medium,,
"Khi hoạt động mở đầu buổi học kéo dài quá thời lượng cần thiết, ảnh hưởng nào sau đây dễ xảy ra nhất đối với tiến trình buổi học?",multiple_choice,"Nội dung trọng tâm bị dàn trải, nhịp buổi học bị chậm lại","Học sinh hứng thú hơn và sẵn sàng tham gia các hoạt động tiếp theo|Nội dung trọng tâm bị dàn trải, nhịp buổi học bị chậm lại|Giáo viên có thêm thời gian dẫn dắt bài học|Không tạo ra ảnh hưởng đáng kể nếu lớp học đang sôi nổi",1,medium,,
"Trong lúc học sinh đang thực hiện một nhiệm vụ học tập, một số em làm chưa đúng, kết quả chưa đạt yêu cầu nhưng vẫn tiếp tục thử các cách khác nhau. Với cách tổ chức lớp học khuyến khích thử nghiệm, giáo viên nên hiểu tình huống này như thế nào?",multiple_choice,Đây là quá trình bình thường giúp học sinh dần hiểu rõ hơn cách thực hiện,Học sinh cần được dừng lại để giáo viên hướng dẫn lại từ đầu|Học sinh đang gặp khó khăn và nên chuyển sang nhiệm vụ khác|Đây là dấu hiệu học sinh chưa đủ năng lực để tiếp tục hoạt động|Đây là quá trình bình thường giúp học sinh dần hiểu rõ hơn cách thực hiện,1,medium,,
"Trong một lớp học công nghệ, giáo viên nhận thấy rằng khi gặp lỗi, học sinh thường làm chậm lại, ít dám thử cách mới và hay quay sang hỏi giáo viên để xin xác nhận. Nguyên nhân nào dưới đây giải thích hợp lý nhất cho hiện tượng này?",multiple_choice,Cách tổ chức lớp học khiến học sinh sợ làm sai và không dám thử tiếp,Nhiệm vụ học tập được thiết kế quá khó so với khả năng của học sinh|Cách tổ chức lớp học khiến học sinh sợ làm sai và không dám thử tiếp|Học sinh chưa được trang bị đủ kiến thức nền để xử lý lỗi|Giáo viên chưa đưa ra hướng dẫn cụ thể ngay từ đầu,1,medium,,
"Một giáo viên tổ chức giờ học với nhiều hoạt động diễn ra liên tục, gần như không có khoảng dừng hay chuyển tiếp rõ ràng. Học sinh lúc đầu còn hứng thú, nhưng càng về cuối buổi càng mệt và dễ mất tập trung. Nguyên nhân chính của tình trạng này là gì?",multiple_choice,"Các hoạt động diễn ra dồn dập, không có điểm nghỉ hợp lý","Thời lượng mỗi hoạt động quá ngắn|Học sinh chưa quen với cách học mới|Các hoạt động diễn ra dồn dập, không có điểm nghỉ hợp lý|Giáo viên chưa giữ được trật tự lớp học",1,medium,,
"Trong cùng một nội dung học công nghệ, hai lớp được tổ chức khác nhau: - Lớp A: khi học sinh làm sai, giáo viên sửa ngay và yêu cầu học sinh làm lại đúng theo mẫu. - Lớp B: khi học sinh làm sai, giáo viên hỏi lại học sinh đã làm đến bước nào và gợi ý để các em tự sửa. Sự khác biệt quan trọng nhất về ảnh hưởng đến cách học của học sinh giữa hai lớp là gì?",multiple_choice,Học sinh lớp B dần quen suy nghĩ và tự xử lý khi gặp lỗi,Học sinh lớp A hoàn thành bài nhanh hơn|Học sinh lớp B hiểu bài chậm hơn do phải tự sửa|Học sinh lớp B dần quen suy nghĩ và tự xử lý khi gặp lỗi|Học sinh lớp A ghi nhớ các thao tác chính xác hơn,1,medium,,
"Một giáo viên cho rằng chỉ cần lớp học sôi nổi, học sinh tham gia đầy đủ thì có thể xem là một giờ học hiệu quả. Nhận định này còn thiếu điểm nào quan trọng nhất?",multiple_choice,Chưa xem học sinh thực sự học được gì sau các hoạt động,Chưa chú ý đủ đến việc giữ trật tự trong lớp|Chưa xem học sinh thực sự học được gì sau các hoạt động|Chưa tận dụng hết các thiết bị và công cụ hỗ trợ|Chưa chấm điểm hoặc tổng kết sản phẩm cuối buổi,1,medium,,
"Một giáo viên có thói quen sửa lỗi ngay khi học sinh vừa làm chưa đúng, với mục đích giữ cho hoạt động diễn ra theo kế hoạch. Nếu cách làm này lặp lại thường xuyên, hệ quả nào sau đây dễ xuất hiện nhất ở học sinh về lâu dài?",multiple_choice,Học sinh quen chờ giáo viên xác nhận trước khi tiếp tục,Học sinh giảm số lần mắc lỗi trong quá trình làm|Học sinh quen chờ giáo viên xác nhận trước khi tiếp tục|Tiến độ các buổi học luôn được đảm bảo|Sản phẩm của học sinh đạt chất lượng cao hơn,1,medium,,
"Một hoạt động học tập được thiết kế với thời gian giới hạn, cho phép học sinh hoàn thành ở các mức độ khác nhau và không so sánh hay xếp hạng giữa các nhóm. Cách thiết kế này chủ yếu nhằm mục đích gì?",multiple_choice,"Giúp học sinh tập trung vào việc vượt qua nhiệm vụ của chính mình, thay vì so sánh với người khác","Giúp giáo viên dễ quản lý tiến độ hoạt động trong lớp|Tạo sự ganh đua rõ ràng giữa các nhóm học sinh|Rút ngắn thời gian triển khai nội dung học|Giúp học sinh tập trung vào việc vượt qua nhiệm vụ của chính mình, thay vì so sánh với người khác",1,medium,,
"Trong một giờ học, lớp học diễn ra ổn định: học sinh làm việc tập trung, trao đổi đúng nội dung và hầu như không cần giáo viên nhắc nhở. Ở giai đoạn này, để đảm bảo hoạt động học tập tiếp tục đi đúng hướng, giáo viên nên làm gì là phù hợp nhất?",multiple_choice,Theo dõi sát quá trình làm việc để phát hiện sớm nhóm cần hỗ trợ và can thiệp khi cần,Giao thêm nhiệm vụ khó hơn cho toàn bộ lớp để tăng thử thách|Hạn chế can thiệp và để học sinh tự xử lý mọi tình huống phát sinh|Theo dõi sát quá trình làm việc để phát hiện sớm nhóm cần hỗ trợ và can thiệp khi cần|Kết thúc sớm hoạt động hiện tại và chuyển sang nội dung tiếp theo,1,medium,,
"Trong phần cuối giờ, giáo viên tập trung nhận xét quá trình học sinh đã thử nghiệm, những điều các em tự điều chỉnh và tiến bộ đạt được, thay vì chỉ nói về sản phẩm hoàn chỉnh. Cách phản hồi này có tác dụng chính nào?",multiple_choice,Duy trì động lực học tập cho các buổi học tiếp theo,Giúp học sinh ghi nhớ kiến thức lâu hơn|Tăng mức độ kiểm soát lớp học|Duy trì động lực học tập cho các buổi học tiếp theo|Tiết kiệm thời gian đánh giá,1,medium,,
"Một giáo viên có thói quen sửa lỗi ngay khi học sinh vừa làm chưa đúng, với mục đích giữ cho hoạt động không bị lệch hướng. Cách làm này được xem là:",multiple_choice,Sai vì dễ làm học sinh ngừng thử và chờ giáo viên chỉ,Đúng vì giúp học sinh làm đúng ngay từ đầu|Sai vì dễ làm học sinh ngừng thử và chờ giáo viên chỉ|Đúng vì giúp buổi học diễn ra đúng tiến độ|Sai vì giáo viên không nên can thiệp khi học sinh đang làm,1,medium,,
